a. wordSent,b1. sent1,b2. sent2,b3. sent3,b4. sent4,b5. sent5,b6. sent6,syntcat1,syntcat2,syntcat3,syntcat4,syntcat5,syntcat6,d. wordCloud,e1. cloud1,e2. cloud2,e3. cloud3,e4. cloud4,e5. cloud5,e6. cloud6,f. wordImg
Beer,Guys tend to like beer more than wine.,He can grab a bottle of beer from here. ,The bartender served her a cold beer.,She ordered a margarita after the beer. ,All she wants today is a pint of beer.,He was thirsty for the beer in the fridge. ,N,N,N,Adj,N,N,'beer',beer,drink,drunk,beer,wine,whiskey,Beer
Big,He wants to be a big fish in a small pond.,"While he isn’t obese, he is quite big.",Cutting down the big tree is substantial.,His big feet are disproportionate. ,There big selection is just a hodgepodge.  ,A bucketful of big strawberries awaits them,Adj,Adj,Adj,Adj,Adj,Adj,'big',big,many,small,plenty,huge,filled,Big
Bird,The bird flew around the cage.,The nest was just big enough for the bird.,The only bird she can see is the parrot.,The bird poked its head out of the hatch.,The bird holds the worm in its beak. ,The bird preened itself for mating.,N,N,N,N,N,N,'bird',bird,nest,flock,mating,beak,winged,Bird
Blood,She was bleeding and lost a lot of blood.,The blood circulation in her legs is bad.,Blood began to fill the wound.,Blood spurted out of the rupture. ,Blood flows through the major artery.,Blood looks blue through our skin. ,N,Adj,N,N,N,N,'blood',blood,artery,stomach,wound,bleed,bowel,Blood
Body,The man had a very athletic body. ,Her body was very skinny.,She felt like her body was frumpy.,The body of the dress is shapeless.,The midsection of his body is well trained.,The model's body is unimposing in reality. ,N,N,N,N,N,N,'body',body,look,figure,handsome,tall,overweight,Body
Brain,The human brain still amazes us today.,The brain is made up of cells. ,The brain has no nerve endings.,A neuron is the fundamental unit of the brain. ,Neuroscientists research the brain functions. ,The oldest brain is the cerebellum. ,N,N,N,N,N,N,'brain',brain,cell,mouse,protein,ewxwproe,synapse,Brain
Broken,The broken mirror went missing. ,The broken leg made the table unstable.,She dangerously teeters on the broken chair.,The disorganized room is full of broken things.,The computer was hopelessly broken. ,The door hung crooked after being broken. ,Adj,Adj,Adj,Adj,Adj,V,'broken',broken,bad,mess,ruined,crooked,failing,Broken
Building,The building used to be a theater.,The library building is pretty old.  ,The building is a mansion for themselves.,There’s a mousetrap in the building entrance. ,The skyscraper is the city's newest building.,The mosque is the lowest building here.  ,N,N,N,N,N,N,'building',building,house,theater,museum,lighthouse,barn,Building
Burn,The fire would burn slowly. ,The cigarette could burn her skin. ,A blowtorch will burn all night. ,The inflammable jacket will never burn. ,The heat of the stove can burn you. ,The flashbulb may burn the curtain. ,V,V,V,V,V,V,'burn',burn,fire,smoke,stove,heating,flaming,Burn
Business,Banking and business make no sense to me.,The company will improve its business sector.,He wants to invest in a better business.  ,Her business needed to take out a loan.,The business will expand its physical property.,This new business venture will make her rich.,N,Adj,N,N,N,Adj,'business',business,company,bank,stock,investment,trading,Business
Camera,The best camera looks unremarkable. ,The camera captures a lot of colors. ,The camera shutter broke when it fell.,The camera focus causes low quality photos.,The camera display had many menu options. ,The camera reflex is too slow. ,N,N,Adj,N,Adj,Adj,'camera',camera,video,lens,focus,surveillance,microscope,Camera
Carefully,She carefully handled the roses.,She carefully and efficiently did the job. ,He explained it creatively and carefully. ,The food is neatly and carefully arranged. ,It is carefully and flawlessly constructed. ,She carefully and cleverly constructed the outcome,Adv,Adv,Adv,Adv,Adv,Adv,'carefully',carefully,perfectly,properly,handled,specially,executed,Carefully
Challenge,This problem proved to be a challenge.,The hardship is a challenge she will defeat. ,A challenge is an obstacle to overcome.,The challenge's burden scared her.,This challenge is critical for the team. ,Passing the challenge is a formidable feat. ,N,N,N,Adj,N,N,'challenge',challenge,problem,trouble,question,difficult,solve,Challenge
Charity,This group often volunteers for charity.,The organization has a new devotion to charity.,The charity is improving its allocations.,The charity event doubled the funding.,The charity is a resource for these families.  ,I encourage you to participate in the charity. ,N,N,N,Adj,N,Adj,'charity',charity,mission,project,community,progress,effort,Charity
Charming,The ambitious salesman was quite charming.,Her loveable laugh was charming.,His charming smile was beguiling. ,The speaker's charismatic nature is charming.,The toddler’s mischievousness toddler is charming. ,The charming proposal was gutsy.  ,Adj,Adj,Adj,Adj,Adj,Adj,'charming',charming,clever,ambitious,daring,witty,dashing,Charming
Clothes,None of his clothes are made of mesh.,Sizing a young boy's clothes is difficult. ,That hat doesn't match his clothes. ,His clothes are often made of flannel. ,Sports clothes can be made of spandex.,His jacket protects his clothes from getting wet.  ,N,N,N,N,N,N,'clothes',clothes,suit,pants,shirt,jacket,sweater,Clothes
Cockroach,The pest control killed the cockroach. ,The cockroach fed off the mold.,The cockroach ate the ant.,The grasshopper and the cockroach are friends.,The cockroach infestation overwhelmed her. ,The pesky cockroach managed to survive.  ,N,N,N,N,Adj,N,'cockroach',cockroach,bug,tick,sting,ant,pest,Cockroach
Code,Change the code to make it run faster.,The new solution could save the code. ,She added new code to the script.,He can code like a pro but can’t type.,The key to good code is simplicity. ,Modify her code so it can take user inputs.,N,N,N,V,N,N,'code',code,list,message,source,menu,object,Code
Collection,She loves her collection of antiques. ,He hoarded a collection of autographs.,Her souvenir collection began in childhood,He stole a stamp to complete his collection.,The item isn’t worth adding to the collection.,She assembled a collection of auction items. ,N,N,N,N,N,N,'collection',collection,worth,rare,treasure,valuable,souvenir,Collection
Computer,The system crash destroyed the computer.  ,Running the application freezes the computer.,She had this kind of interface on her computer. ,The infrastructure of the computer is weird.  ,He was streaming music from his computer. ,His desktop computer is pretty old. ,N,N,N,N,N,N,'computer',computer,system,memory,data,software,hardware,Computer
Construction,Construction slowed down at the last wall.,Plastering is the next step in construction.,The flooring began the construction process,The remodeling takes two years of construction.,The homeowner hated the construction.,The construction is true workmanship.  ,N,N,Adj,N,N,Adj,'construction',construction,stone,paint,wood,concrete,contractor,Construction
Cook,Defrost the fish before you cook it.  ,"If she wants to cook, she needs a fridge. ",He thought a pan was all he needed to cook. ,The steaming pot holds all she can cook. ,He thought you had to cook the dough. ,Warm up the stove to cook the stew. ,V,V,V,V,V,V,'cook',cook,heat,pot,pan,oven,fry,Cook
Count,He couldn't count past five. ,He will count backwards to one.,She was able to count to a hundred.  ,I will count by fives to speed it up. ,I can count the tally for you.  ,He will count up to fourteen. ,V,V,V,V,V,V,'counting',counting,one,two,every,times,approximately,Counting
Crazy,His nightmare drove him crazy.,The crazy taxi driver was freaky.,The crazy animal looked bloodthirsty. ,The crazy demon was just grotesque. ,The ritual felt crazy and animalistic.,This crazy dystopia was his new life.,Adj,Adj,Adj,Adj,Adj,Adj,'crazy',crazy,mad,weird,strange,horrible,dreadful,Crazy
Damage,The accident left some serious damage.,The snow’s impact required damage control.,The possibility of damage made her nervous,The storm caused inevitable damage. ,The flood caused severe damage. ,There is an unexpected amount of damage. ,N,Adj,N,N,N,N,'damage',damage,accident,earthquake,flood,hurricane,disaster,Damage
Dance,Just shuffle through the dance steps.,She can dance in the ballroom course. ,Juggling dance and gymnastics was hard.,Irish folk dance requires fast footwork.,He is found dancing the dance all the time.,Walking the dance helped him learn it. ,N,*,N,N,N,N,'dance',dance,jump,swing,routine,perform,ballet,Dance
Dangerous,The punishment was dangerous and cruel.,Climbing that dangerous bridge is boneheaded. ,Aggravating the president is unpatriotic and dangerous.,It’s unwise and dangerous to take it on. ,The dangerous monster smelled atrociously.,These dangerous conditions are unacceptable.,Adj,Adj,Adj,Adj,Adj,Adj,'dangerous',dangerous,disgusting,unfair,risky,cruel,inappropriate,Dangerous
Deceive,To lie is to deceive.,He’s devious enough to deceive her. ,The ploy was to deceive the old lady slowly.,The plan is to deceive and bribe him quickly. ,The operative was meant to deceive him.  ,Her motive is to deceive his friend. ,V,V,V,V,V,V,'deceive',deceive,lie,trick,fake,cheating,traitor,Deceive
Dedication,His dedication shows how passionate he is.,His dedication makes him so successful. ,Her dedication spurred her pursuit.  ,Her dedication mirrored her commitment.,His dedication to her shows how faithful he is.,Her loyal dedication is indisputable.,N,N,N,N,N,N,'dedication',dedication,loyal,commitment,constant,faithful,devotion,Dedication
Deliberately,She deliberately and wrongfully hurt him.,He ruthlessly and deliberately ignored her. ,She deliberately fell as she inadvertently slipped,"Not deliberately, he arbitrarily asked her out. ",The decision was deliberately and unjustly made. ,He foolishly accepted the offer deliberately. ,Adv,Adv,Adv,Adv,Adv,Adv,'deliberately',deliberately,violently,rightly,wisely,consciously,inadvertently,Deliberately
Delivery,The website offered free delivery. ,The delivery date was unclear. ,The form of delivery was up to him. ,She wants to intercept the delivery. ,He wanted confirmation of the delivery. ,She requested express delivery to save time.,N,Adj,N,N,N,N,'delivery',delivery,send,address,mail,arrive,customer,Delivery
Dessert,Ice cream is her favorite dessert.,Candy is a good choice for dessert.,The dessert at the dinner was fruitcake.,"In her mind, yogurt doesn’t replace dessert.",The jelly sandwich is practically dessert. ,The filling of the dessert was marvelous. ,N,N,N,N,N,N,'dessert',dessert,cake,candy,chocolate,pie,cookie,Dessert
Device,The device has a finicky antenna. ,The device is wired very simply. ,She had to coax the device to start it. ,The switch on the device popped off. ,The device was disconnected from power.,The transistor was built into the device. ,N,N,N,N,N,N,'device',device,power,operation,cable,battery,electrical,Device
Dig,He can dig and discover all he wants. ,The erosion made it difficult to dig.,He didn't want to dig in the excavation.,They want to dig for another fossil.,You can dig a ditch in a few hours.,He didn’t want to dig underground. ,V,V,V,V,V,V,'dig',dig,mine,rock,cave,underground,ore,Dig
Dinner,Her lunch is often leftovers from dinner. ,He wanted a sandwich for dinner.,Noodles from dinner were on the table.  ,Fondue for dinner is her favorite.,I would like to serve dinner now.,The dinner was super yummy. ,N,N,N,N,N,N,'dinner',dinner,lunch,breakfast,meat,bread,soup,Dinner
Disease,Heart disease is common in the U.S.,Type Two Diabetes is an adult disease.,The tumor was a symptom of a disease.,Abnormal results show the onset of disease. ,She heard her disease is in remission. ,Respiratory disease hinders his breath. ,N,N,N,N,N,N,'disease',disease,cancer,stroke,diabetes,failure,arthritis,Disease
Dissolve,Inject a solution to dissolve the powder.,Disperse the chunks in fluid to dissolve them,Dissolve the substance and it will evaporate. ,Distill and dissolve the issue immediately. ,You can compartmentalize it but never dissolve it.,Demystify and dissolve the rumor. ,V,V,V,V,V,V,'dissolve',dissolve,isolate,penetrate,rearrange,relocate,dismantle,Dissolve
Disturb,His insult will disturb her deeply.,His affect will begin to disturb me soon. ,He can disturb and aggravate anyone.,Conspire as much as you can to disturb her. ,Restrain him so he can’t disturb me.  ,Do not disturb or jeopardize your chance. ,V,V,V,V,V,V,'disturb',disturb,destroy,insult,threaten,dominate,restrain,Disturb
Do,Do you often deviate from the rules?,I do not falter when I know what I want.,You do get punished if you misbehave. ,Do me no wrong and divulge the secret. ,I dare you to do that. ,You do have the tendency to annoy me. ,FunctionWord,FunctionWord,FunctionWord,V,V,FunctionWord,'do',do,take,betray,defy,refuse,misunderstand,Do
Doctor,The hospital wanted to hire a new doctor. ,A brilliant doctor performed the surgery.,The doctor doesn’t deal with patient trauma. ,You can’t be an occupational doctor. ,He will consult his friend before his doctor.,The physician prefers being called a doctor. ,N,N,N,N,N,N,'doctor',doctor,hospital,nurse,surgery,therapy,dentist,Doctor
Dog,The man was able to rescue the dog.,The shelter worker took care of the dog.  ,Her dog's temperament matched her own.,A dog is a great companion. ,The spaniel was a terrible dog. ,The vet didn't want a dog of her own. ,N,N,Adj,N,N,N,'dog',dog,pet,cat,animal,chow,gerbil,Dog
Dressing,The thicker dressing has egg in it.  ,Garlic made the dressing inedible. ,The mozzarella has an oily dressing.,A delicious dressing will be the garnish. ,The dressing gave the marmalade a sour twist. ,Sauerkraut is sour enough without dressing. ,N,N,N,N,N,N,'dressing',dressing,lemon,garlic,onion,spinach,cucumber,Dressing
Driver,The driver had a duty to take her home.,The driver can’t lift the box out of the trunk.,The bulldozer needed a better driver.,The taxicab driver is tired of them. ,The actress needed to hire a new driver. ,The driver hates loading in at the airport. ,N,N,N,N,N,N,'driver',driver,car,truck,passenger,cargo,bicycle,Driver
Economy,The boom gave the economy a big boost.,The economy spiked unexpectedly.,The economy was in a slump.,The economy didn’t predict the carpool demand. ,Unemployment still affects the economy.,The current economy is good for graduates. ,N,N,N,N,N,N,'economy',economy,stock,boom,crisis,demand,outlook,Economy
Election,The election took place at the meeting.,The council has an election next spring.,The candidate was up for election.,The poll was swarmed for the election.,The nomination for election was an honor. ,The councilman will stay for the election. ,N,N,N,N,N,N,'election',election,vote,campaign,rally,agenda,candidate,Election
Electron,The electron moves in a wave. ,An electron is a miniscule particle.,An electron impacts the substance’s equilibrium. ,He calculated the wavelength of an electron.,Use Planck’s constant for the mass of an electron. ,Find the thermal energy of an electron. ,N,N,N,N,N,N,'electron',electron,wave,mass,radiation,atomic,magnetic,Electron
Elegance,Her elegance exuded unexpected warmth. ,The event’s formality screams elegance. ,The home's grandeur signified its elegance. ,The simplicity of her elegance is incomparable.,Sensuality and elegance are hard to fake. ,The elegance of the palace is inherent. ,N,N,N,N,N,N,'elegance',elegance,depth,warmth,innocence,seriousness,simplicity,Elegance
Emotion,His shame is his least controlled emotion.,Sorrow is his dominating emotion nowadays. ,Indignation was the emotion she could identify.,Betrayal isn't an emotion you can trigger.,She felt an emotion she knew to be embarrassment.  ,She has a desire to feel overwhelming emotion. ,N,N,N,N,N,N,'emotion',emotion,fear,shame,joy,desire,guilt,Emotion
Emotionally,He felt emotionally and mentally secure.,"Morally and emotionally, it is difficult. ","Objectively, he gets her emotionally. ",An unsound choice destroyed her emotionally. ,The family solidly pumps him up emotionally. ,The kid is successful and emotionally in tune. ,Adv,Adv,Adv,Adv,Adv,Adv,'emotionally',emotionally,technically,morally,sufficiently,scientifically,objectively,Emotionally
Engine,The engine is in the front of the car. ,The spare tire is up by the engine.,A hybrid car has a different engine.,The jeep's engine gave out at the traffic light.,Engine is another word for motor. ,This car has its engine in the trunk. ,N,N,N,N,N,N,'engine',engine,wheel,motorcycle,tire,brake,automobile,Engine
Event,Everyone was so happy at the event.,The event is a celebration of his life.,The tenth reunion was a spectacular event.,The housewarming event is heavily attended.,The impromptu event was special.,The headmaster’s luncheon is a monthly event. ,N,N,N,N,N,N,'event',event,party,wedding,funeral,parade,picnic,Event
Experiment,This experiment aims to study human behavior.,The experiment is diagnostic of psychosis. ,The experiment asks for a blood sample.  ,Debrief the participants in the experiment.,A recent experiment led to a new observation.,The experiment is built on initial expectations.,N,N,N,N,N,N,'experiment',experiment,test,study,analysis,observation,examination,Experiment
Extremely,Her written work is extremely powerful. ,She is impossibly kind and extremely driven. ,She is extremely and intensely motivated. ,She is extremely grateful and infinitely proud.,Steve is exceptionally gifted and extremely humble.,Sarah unarguably remained extremely competitive. ,Adv,Adv,Adv,Adv,Adv,Adv,'extremely',extremely,very,most,quite,highly,super,Extremely
Feeling,Finals left her feeling afraid for her grade.,"While he is worried, she is feeling fine.",The baby was feeling fussy all day.,The cat is feeling grumpy and prone to scratch.,His temperamental moods left her feeling sad.,She’s feeling weary of his skittish behavior.,V,V,V,V,V,V,'feeling',feeling,scared,worried,curious,sensitive,shy,Feeling
Fight,The first sword swing began the fight.,The beast started the fight. ,The goblin fled from the fight.,The gladiator did not want to fight. ,Her bloodline was worth the fight.,The warlock put up a good fight. ,N,N,N,V,N,N,'fight',fight,battle,sword,warrior,monster,demon,Fight
Fish,He wanted to see the fish in the ocean.,He plans to find sharks and other fish.  ,He wants more fish after catching the carp.,The gator eats fish like trout. ,The divers weren't there for the fish. ,You might see some fish when you surf.  ,N,N,N,N,N,N,'fish',fish,catch,swim,sea,fisherman,bait,Fish
Flow,Hot air would flow out from the heater. ,The water flow reminds him to pay his rent.,The leak disrupted the flow. ,The spout has a shape that inhibits flow.,A liter of water will flow out of the canister.,The turbine relies on a steady flow. ,V,N,N,N,V,N,'flow',flow,water,air,pressure,pump,fan,Flow
Food,She eats junk food on the weekends.,He felt fat after eating that much food.,The cat food today consisted of kibble.,Her food has a lot of nutritional value. ,He was devouring his food as she spoke.,The steakhouse serves vegetarian food. ,N,N,N,N,N,N,'food',food,eat,hungry,meal,snack,weight,Food
Garbage,The dumpster was full of garbage.,He threw the rotten apple into the garbage.,Trash is another word for garbage.,The garbage began to reek in the sun.,The landfill is brimming with garbage.,The sewer bubbled over into the garbage.,N,N,N,N,N,N,'garbage',garbage,waste,dump,rotten,filthy,stinking,Garbage
Gold,I want a gold watch for my thirtieth.,The yellow gold shines brightly in the sun.,He eventually chose the gold ring. ,The horseshoe has pink and gold accents. ,The glittering gold is breathtaking.,The paperweight was made of gold. ,Adj,N,Adj,Adj,N,N,'gold',gold,silver,diamond,ring,necklace,jewel,Gold
Great,The great experience became irresistible. ,You are great but aim to be terrific. ,The great waiter took care of his guests. ,The spectacular view made the room so great.,The food is great and the service exceptional.,It is amazing how great of a runner she is.  ,Adj,Adj,Adj,Adj,Adj,Adj,'great',great,beautiful,wonderful,absolutely,lovely,amazing,Great
Gun,A gun is a kind of weapon.,Firing a gun can kill someone.,The gun had one bullet left.,The shooter threw away his gun.,He aimed the gun at the target. ,The blast from the gun was loud. ,N,N,N,N,N,N,'gun',gun,shoot,bomb,bullet,rifle,shotgun,Gun
Hair,His blond hair looks good with blue. ,His moustache hair is a strange color.  ,Her hair is droopy in the heat.,The model's hair was voluminous. ,Don’t straighten your hair if you want to keep it. ,The cat's whiskers felt like human hair.,N,N,N,N,N,N,'hair',hair,beard,comb,moustache,goatee,hairline,Hair
Help,Someone had to help her replace the engine. ,You can't recover without a doctor to help you,Stimulate the area to help it wake up. ,Please clarify how I can help. ,You will stabilize if you let him help you.,Reinforce the idea that help is good.,V,V,V,V,V,V,'help',help,replace,heal,improve,preserve,expand,Help
Hurting,Her nose is still hurting after the fall.,His tooth was hurting after practice.,Hurting her hip was the worst outcome.,The child's bony bottom is hurting her lap.,The prosthetic arm was hurting her. ,Her pelvis was hurting tremendously. ,V,V,N,V,V,V,'hurting',hurting,arm,foot,neck,leg,shoulder,Hurting
Ignorance,Blame his frailty rather than his ignorance. ,His striking ignorance upholds his arrogance.  ,Their ignorance stems from their debauchery. ,His complete ignorance creates inefficiency. ,Cut the tomfoolery and fix on your ignorance. ,Your cockiness and ignorance bother me most. ,N,N,N,N,N,N,'ignorance',ignorance,greed,stupidity,arrogance,incompetence,indiscretion,Ignorance
Illness,The illness spread across the community. ,His illness turned out to be the flu.,The penicillin won’t cure her illness.,She contracted a stomach illness from the food.,Typhoid is an illness that affected many people.  ,He isn’t susceptible to the illness. ,N,N,N,N,N,N,'illness',illness,spread,virus,infection,flu,vaccine,Illness
Impress,You impress the unsuspecting countess. ,Don't terrify her but impress her. ,Misdirect his attention to impress him.,Titillate his interests to impress him.,Try to impress or astonish him!,You will mesmerize and impress your audience.  ,V,V,V,V,V,V,'impress',impress,disappoint,frighten,entertain,attract,confuse,Impress
Invention,The invention will comprise his integrity.,The invention involves an unexpected element.,The semiconductor was a crucial invention.,A push of a button rotated the invention.,The invention is schematically drawn. ,The new invention has a reflective surface. ,N,N,N,N,N,N,'invention',invention,end,means,element,surface,formed,Invention
Investigation,The criminal is under investigation again.,An investigation can produce a charge.,The investigation is led with suspicion.,The investigation was unlawful.,The burglary didn’t lead to an investigation.,The investigation uncovered a scandal.,N,N,N,N,N,N,'investigation',investigation,guilty,criminal,theft,extortion,corruption,Investigation
Invisible,The ghost was invisible.,The girl felt insignificant and invisible.,The web is almost invisible to the naked eye.,The wind is invisible and odorless.,It’s inexplicable how the boy became invisible. ,She was virtually invisible in the dark. ,Adj,Adj,Adj,Adj,Adj,Adj,'invisible',invisible,impossible,vanish,insignificant,unspeakable,undetectable,Invisible
Job,For her job she works as a cashier.,The coordinator's job is to organize. ,Recruitment season is a time to get a job.,The job position recently closed. ,The manager wanted to give up his job,This month the job is under supervision. ,N,N,N,Adj,N,N,'job',job,boss,employee,secretary,office,manager,Job
Jungle,The monkey lives in the jungle.,The jungle appears giant from every angle.,Ferocious animals abound in the jungle.,The gazelle grazed outside of the jungle.,The lion does not live in the jungle. ,The jungle houses a new species of frog. ,N,N,N,N,N,N,'jungle',jungle,monkey,snake,tiger,elephant,gorilla,Jungle
Kindness,He had respect for her kindness.,You need kindness and loyalty in a friend.,His manliness and kindness are irresistible.,Her meekness outweighed her kindness.,The direct nature of his kindness is gentlemanly. ,The school teaches piety and kindness.,N,N,N,N,N,N,'kindness',kindness,virtue,courage,compassion,honesty,decency,Kindness
King,The king is the head of the royal family. ,The king was wealthy beyond belief. ,This king does not wear a crown.,A king and an emperor had similar roles. ,The king is a ruler of his land. ,The king is not a dictator. ,N,N,N,N,N,N,'king',king,king,noble,crown,privilege,allegiance,King
Lady,The queen was a classy lady.,The princess is a newly married young lady.,The weird lady needed a serious makeover. ,The debutante was presented as a lady.,The lady has a keen suitor. ,The lady was a darling of society.,N,N,N,N,N,N,'lady',lady,darling,madam,princess,maid,actress,Lady
Land,This piece of land borders two countries. ,The island consists of uninhabitable land.,A fence marks the border of his land.  ,This land is his refuge.,"In a faraway land, people live differently. ",A swamp shouldn't be classified as land. ,N,N,N,N,N,N,'land',land,river,forest,border,region,map,Land
Laugh,She tried not to laugh and had to gasp. ,At comedy clubs people both laugh and clap.,When I laugh I sometimes sneeze.,A giggle is the most she will ever laugh.  ,She tends to sigh whenever I laugh.,He spit out his water when he had to laugh. ,V,V,V,V,V,V,'laugh',laugh,cry,scream,sneeze,grin,gasp,Laugh
Law,The law would act to her benefit. ,He will enforce the law if she breaks it. ,The applicability of the law is murky.,House arrest is a law-imposed restriction. ,A new law doesn't work retroactively. ,All I want is to overturn that law. ,N,N,N,N,N,N,'law',law,license,permit,forbid,authority,rule,Law
Left,His remains were left on the battlefield. ,The child was thankfully left unharmed.,The unmarked turkey was from November. ,She was left undecided after hearing him out.,He was left feeling unnoticed.  ,His question was left unanswered. ,V,V,V,V,N,V,'left',left,remains,unharmed,undetected,untouched,unanswered,Left
Level,I just measured his level of consciousness.,The salary reflects your level of performance. ,The threshold level is unreal. ,The level of unemployment has risen.,Step it up a level to increase the quota.,He performs at a greater level than you.  ,N,N,N,N,N,N,'level',level,high,low,measure,count,compare,Level
Liar,"He’s a troublemaker, not a liar.   ",The cheater had always been a major liar. ,She is a pessimist and a liar. ,The discovered liar is now an imposter. ,The fast talker and liar both spoke fast.  ,The faker became a full-blown liar. ,N,N,N,N,N,N,'liar',liar,scoundrel,cheater,pushover,drunkard,oaf,Liar
Light,The morning light was clear today.,The light from the window hurt her eyes.,There isn't much light during dusk.,The light is so bright that he has to squint. ,The storm clouds were clouding the light.,The light reflected off of the window.  ,N,N,N,N,N,N,'light',light,eyes,color,dark,vision,sun,Light
Magic,The spell proved magic exists. ,He doesn't believe in magic or witchcraft.,The psychic performed magic tricks. ,Tarot cards are make-believe magic.,The mythical story made magic seem real. ,The magician cast his magic on her. ,N,N,Adj,N,N,N,'magic',magic,spell,witch,potion,supernatural,wand,Magic
Marriage,She got pregnant before her marriage.,Dating sometimes leads to marriage. ,Girls fantasize about marriage after puberty.,"She wants marriage, he wants to breakup.",The newlywed talks about marriage for hours.,You should get some marriage advice. ,N,N,N,N,N,Adj,'marriage',marriage,pregnancy,divorce,birth,puberty,flirting,Marriage
Material,That material is hard to rip.,Covering the statue with any material is hard.,Silicone is a bendy kind of material.,The material has an adhesive side. ,The material will cling to your hair. ,These scientists create an unbreakable material. ,N,N,N,N,N,N,'material',material,plastic,steel,rubber,cork,cardboard,Material
